unique_id,uptick_name,date,title,url,TRIPI (1),TRIPI (2),Category (1),Category (2)
2d20180228n2.pdf,hkex,2018-02-28,Presentation by HKEX Chief Executive Charles Li and Group Chief Financial Officer John Killian on 2017 Final Results Announcement,http://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2018/180228news/1802283news.pdf,,,,
2d20180228n3.pdf,hkex,2018-02-28,HKEX 2017 Consolidated Financial Statements,http://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2018/180228news/1802282news.pdf,,,,
2d20180228n4.pdf,hkex,2018-02-28,HKEX 2017 Final Results,http://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2018/180228news/180228news.pdf,,,,
2d20180223n1.pdf,hkex,2018-02-23,Exchange Proposes New Listing Regime for Emerging and Innovative Companies,http://www.hkex.com.hk/News/News-Release/2018/180223news?sc_lang=en,,,,
2d20180220n1.pdf,hkex,2018-02-20,HKEX Connect Hall Inaugurated as Trading in Year of Dog Begins,http://www.hkex.com.hk/News/News-Release/2018/180220news?sc_lang=en,,,,
2d20180214n1.pdf,hkex,2018-02-14,HKEX Announces Incentive Scheme for its Stock Futures,http://www.hkex.com.hk/News/News-Release/2018/180214news?sc_lang=en,,,,
2d20180213n1.pdf,hkex,2018-02-13,HKEX to Add Long-dated HSI and HSCEI Futures and Options from 5 March,http://www.hkex.com.hk/News/News-Release/2018/180213news?sc_lang=en,,,,
2d20180212n1.pdf,hkex,2018-02-12,HKEX Welcomes Government Appointments to its Board,http://www.hkex.com.hk/News/News-Release/2018/180212news?sc_lang=en,,,,
2d20180212n2.pdf,hkex,2018-02-12,Exchange Launches Director Training Webcast on IPOs,http://www.hkex.com.hk/News/News-Release/2018/1802123news?sc_lang=en,,,,
2d20180212n3.pdf,hkex,2018-02-12,HKEX to Reduce Multipliers of 4 Stock Futures Contracts,http://www.hkex.com.hk/News/News-Release/2018/1802122news?sc_lang=en,,,,
2d20180207n1.pdf,hkex,2018-02-07,HKEX to Proceed with Plan to Include Equity Index Options in its After-Hours Derivatives Trading,http://www.hkex.com.hk/News/News-Release/2018/180207news?sc_lang=en,,,,
2d20180202n1.pdf,hkex,2018-02-02,Exchange Publishes Guidance Letters on Pricing Flexibility for IPOs and Placing Tranche Reallocation in IPOs,http://www.hkex.com.hk/News/News-Release/2018/1802022news?sc_lang=en,,,,
2d20180202n2.pdf,hkex,2018-02-02,Changes of Designated Securities for Short Selling,http://www.hkex.com.hk/News/News-Release/2018/1802023news?sc_lang=en,,,,
2d20180202n3.pdf,hkex,2018-02-02,Listing Nominating Committee Seeks Listing Committee Candidates ,http://www.hkex.com.hk/News/News-Release/2018/180202news?sc_lang=en,,,,
2d20180131n1.pdf,hkex,2018-01-31,"Report on Initial Public Offering Applications, Delisting and Suspensions (As at 31 January 2018)",http://www.hkex.com.hk/News/News-Release/2018/1801312news?sc_lang=en,,,,
2d20180131n2.pdf,hkex,2018-01-31,Hong Kong and New Zealand Exchanges Sign MOU,http://www.hkex.com.hk/News/News-Release/2018/180131news?sc_lang=en,,,,
2d20180130n1.pdf,hkex,2018-01-30,"The Listing Committee censures Mr Chen Jing, a former executive director of TC Orient Lighting Holdings Limited (Stock Code: 515), for breaching Rule 3.08(a), (d) and (f) of the Listing Rules",http://www.hkex.com.hk/News/News-Release/2018/180130news?sc_lang=en,,,,
2d20180126n1.pdf,hkex,2018-01-26,Exchange Publishes Results of its Latest Review of Disclosure in Issuers’ Annual Reports,http://www.hkex.com.hk/News/News-Release/2018/180126news?sc_lang=en,,,,
2d20180124n1.pdf,hkex,2018-01-24,Announcement - In relation to the matter of CECEP COSTIN New Materials Group Limited (In Provisional Liquidation) (Incorporated in Cayman Islands with limited liability) (Stock Code: 2228) Proceeding to third stage of delisting procedures,http://www.hkex.com.hk/News/News-Release/2018/1801243news?sc_lang=en,,,,
2d20180124n2.pdf,hkex,2018-01-24,HKEX Lays Out Key Plans for 2018,http://www.hkex.com.hk/News/News-Release/2018/180124news?sc_lang=en,,,,
2d20180123n1.pdf,hkex,2018-01-23,HKEX Sets Launch Date for New Securities Trading System,http://www.hkex.com.hk/News/News-Release/2018/180123news?sc_lang=en,,,,
2d20180122n1.pdf,hkex,2018-01-22,The Listing Committee censures RCG Holdings Limited (now known as China e-Wallet Payment Group Limited) (Stock Code: 802) and a number of its current and former directors for breaching the Exchange Listing Rules and/or the Director’s Undertaking,http://www.hkex.com.hk/News/News-Release/2018/180122news?sc_lang=en,,,,
2d20180109n1.pdf,hkex,2018-01-09,HKEX Markets Set New Records in 2017,http://www.hkex.com.hk/News/News-Release/2018/180109news?sc_lang=en,,,,
2d20180104n1.pdf,hkex,2018-01-04,Appointment of HKEX Risk Management Committee (Statutory) Member,http://www.hkex.com.hk/News/News-Release/2018/180104news?sc_lang=en,,,,
2d20180102n1.pdf,hkex,2018-01-02,HKEX Welcomes Yue Yi to its Risk Management Committee (Statutory),http://www.hkex.com.hk/News/News-Release/2018/180102news?sc_lang=en,,,,
